"vehicle_type","towing_and_articulation","vehicle_manoeuvre","vehicle_location.restricted_lane","junction_location","skidding_and_overturning","hit_object_in_carriageway","vehicle_leaving_carriageway","hit_object_off_carriageway","X1st_point_of_impact","was_vehicle_left_hand_drive.","journey_purpose_of_driver","sex_of_driver","age_of_driver","age_band_of_driver","engine_capacity_.cc.","propulsion_code","age_of_vehicle","driver_home_area_type","number_of_vehicles","day_of_week","time","X1st_road_class","road_type","speed_limit","junction_detail","junction_control","X2nd_road_class","pedestrian_crossing.human_control","pedestrian_crossing.physical_facilities","light_conditions","weather_conditions","road_surface_conditions","special_conditions_at_site","carriageway_hazards","urban_or_rural_area","pedestrian_location","pedestrian_movement","fatal"
3,0,18,0,8,5,0,0,0,1,1,6,1,26,6,125,1,2,NA,2,4,"15:10:00",6,6,30,3,4,6,0,0,1,1,1,0,0,1,"0","0",0
9,0,9,0,8,0,0,0,0,1,1,6,1,45,7,1596,1,11,1,4,2,"09:06:00",3,6,30,3,4,6,0,0,1,1,1,0,0,1,"NA","NA",0
9,0,18,0,8,0,0,0,0,1,1,1,1,46,8,NA,NA,NA,1,4,2,"09:06:00",3,6,30,3,4,6,0,0,1,1,1,0,0,1,"NA","NA",0
9,0,18,0,8,0,0,0,0,3,1,6,1,23,5,1461,2,11,1,4,2,"09:06:00",3,6,30,3,4,6,0,0,1,1,1,0,0,1,"NA","NA",0
9,0,18,0,8,0,0,0,0,1,1,6,2,30,6,973,1,14,1,4,2,"09:06:00",3,6,30,3,4,6,0,0,1,1,1,0,0,1,"0","0",0
5,0,13,0,8,0,0,0,0,1,1,6,1,47,8,1585,2,6,3,2,5,"14:50:00",3,6,30,8,4,6,0,0,1,1,1,0,0,1,"0","0",0
9,0,9,0,8,0,0,7,10,2,1,2,2,73,10,998,1,25,1,2,5,"14:50:00",3,6,30,8,4,6,0,0,1,1,1,0,0,1,"0","0",0
9,0,18,0,0,0,0,0,0,1,1,6,2,41,7,1360,1,12,1,2,1,"17:40:00",4,6,30,0,NA,NA,0,0,1,1,1,0,0,1,"0","0",0
9,0,2,9,0,0,0,0,0,2,1,6,1,46,8,1999,1,NA,1,2,1,"17:40:00",4,6,30,0,NA,NA,0,0,1,1,1,0,0,1,"NA","NA",0
9,0,9,0,8,0,0,0,0,1,1,6,2,25,5,1390,1,8,1,2,3,"18:26:00",5,6,30,9,4,5,0,0,1,1,1,0,0,1,"NA","NA",0
1,0,4,0,8,0,0,0,0,4,1,1,1,51,8,NA,NA,NA,1,2,3,"18:26:00",5,6,30,9,4,5,0,0,1,1,1,0,0,1,"0","0",0
5,0,13,0,0,1,0,0,0,2,1,6,1,25,5,748,1,9,2,2,1,"15:19:00",5,6,30,0,NA,NA,0,0,1,1,1,0,0,1,"0","0",0
9,0,18,0,0,0,0,0,0,0,1,6,2,26,6,1399,2,3,1,2,1,"15:19:00",5,6,30,0,NA,NA,0,0,1,1,1,0,0,1,"NA","NA",0
3,0,18,0,6,5,0,0,0,4,1,6,1,27,6,125,1,NA,1,2,7,"16:15:00",4,6,30,6,4,6,0,0,1,1,1,0,0,1,"0","0",0
9,0,18,0,8,0,0,0,0,1,1,6,1,30,6,1686,2,5,1,2,7,"16:15:00",4,6,30,6,4,6,0,0,1,1,1,0,0,1,"NA","NA",0
3,0,18,0,0,0,0,0,0,1,1,6,1,36,7,124,1,16,1,4,5,"18:30:00",6,6,30,0,NA,NA,0,0,1,1,1,0,0,1,"0","0",0
5,0,18,0,0,0,0,0,0,2,1,6,1,33,6,996,1,13,1,4,5,"18:30:00",6,6,30,0,NA,NA,0,0,1,1,1,0,0,1,"NA","NA",0
9,0,18,0,0,0,0,0,0,3,1,6,1,49,8,1984,1,20,1,4,5,"18:30:00",6,6,30,0,NA,NA,0,0,1,1,1,0,0,1,"NA","NA",0
9,0,4,0,0,0,0,0,0,0,1,1,1,66,10,1598,2,2,1,4,5,"18:30:00",6,6,30,0,NA,NA,0,0,1,1,1,0,0,1,"NA","NA",0
5,0,13,0,0,0,0,0,0,1,1,6,1,34,6,599,1,15,1,2,4,"15:40:00",3,6,30,0,NA,NA,0,0,1,1,1,0,0,1,"0","0",0
9,0,6,0,0,0,0,0,0,4,1,1,1,65,9,1997,2,11,1,2,4,"15:40:00",3,6,30,0,NA,NA,0,0,1,1,1,0,0,1,"NA","NA",0
9,0,18,0,8,0,0,0,0,2,1,6,1,50,8,1968,2,2,1,2,7,"18:53:00",6,6,30,6,4,6,0,0,1,1,1,0,0,1,"NA","NA",0
9,0,18,0,8,0,0,0,0,1,1,6,2,24,5,998,1,1,1,2,7,"18:53:00",6,6,30,6,4,6,0,0,1,1,1,0,0,1,"0","0",0
9,0,18,0,8,0,0,0,0,1,1,6,2,24,5,998,1,1,1,2,7,"18:53:00",6,6,30,6,4,6,0,0,1,1,1,0,0,1,"0","0",0
1,0,18,0,0,0,0,0,0,1,1,6,1,27,6,NA,NA,NA,1,2,4,"18:22:00",3,3,30,0,NA,NA,0,0,1,1,1,0,0,1,"0","0",0
19,0,4,0,0,0,0,0,0,1,1,1,1,31,6,1598,2,NA,NA,2,4,"18:22:00",3,3,30,0,NA,NA,0,0,1,1,1,0,0,1,"NA","NA",0
9,0,13,0,8,0,0,0,0,4,1,6,1,30,6,1968,1,10,NA,3,1,"10:00:00",4,3,30,9,4,6,0,0,1,1,1,0,0,1,"NA","NA",0
9,0,9,0,8,0,0,0,0,3,1,6,1,31,6,996,1,5,NA,3,1,"10:00:00",4,3,30,9,4,6,0,0,1,1,1,0,0,1,"0","0",0
9,0,18,0,8,0,0,0,0,0,1,1,1,30,6,1396,2,1,NA,3,1,"10:00:00",4,3,30,9,4,6,0,0,1,1,1,0,0,1,"NA","NA",0
9,0,18,0,8,0,0,0,0,1,1,1,1,27,6,NA,NA,NA,NA,2,2,"10:00:00",3,6,20,3,4,6,0,0,1,1,1,0,0,1,"0","0",0
9,0,5,0,5,0,0,0,0,1,1,2,2,37,7,1598,1,11,1,2,2,"10:00:00",3,6,20,3,4,6,0,0,1,1,1,0,0,1,"NA","NA",0
9,0,3,0,4,0,0,0,0,2,1,6,2,74,10,1197,1,1,NA,2,5,"13:00:00",3,6,30,1,4,1,0,0,1,1,1,0,0,2,"0","0",0
90,0,3,0,4,0,0,0,0,1,1,1,1,30,6,NA,NA,NA,NA,2,5,"13:00:00",3,6,30,1,4,1,0,0,1,1,1,0,0,2,"NA","NA",0
9,0,16,0,0,5,10,0,1,1,1,6,1,21,5,2148,2,10,1,1,4,"22:10:00",6,6,30,0,NA,NA,0,0,4,1,1,0,0,1,"0","0",0
9,0,16,0,0,5,10,0,1,1,1,6,1,21,5,2148,2,10,1,1,4,"22:10:00",6,6,30,0,NA,NA,0,0,4,1,1,0,0,1,"0","0",0
9,0,7,0,6,0,0,0,0,1,1,6,2,92,11,1124,1,19,1,2,4,"12:35:00",3,6,30,3,4,6,0,0,1,1,1,0,0,1,"0","0",0
21,0,18,0,8,0,0,0,0,4,1,1,1,32,6,9200,2,8,1,2,4,"12:35:00",3,6,30,3,4,6,0,0,1,1,1,0,0,1,"NA","NA",0
9,0,4,0,0,0,0,0,0,1,1,6,2,65,9,1995,2,3,1,1,5,"10:34:00",5,6,30,0,NA,NA,0,0,1,1,1,0,0,1,"10","1",0
9,0,14,0,0,0,4,0,0,1,2,6,1,30,6,1398,1,8,NA,3,5,"17:50:00",6,6,30,0,NA,NA,0,0,1,1,1,0,0,1,"NA","NA",0
9,0,14,0,0,0,0,0,0,1,1,6,1,28,6,1984,1,1,1,3,5,"17:50:00",6,6,30,0,NA,NA,0,0,1,1,1,0,0,1,"0","0",0
9,0,14,0,0,0,0,0,0,1,1,6,1,28,6,1984,1,1,1,3,5,"17:50:00",6,6,30,0,NA,NA,0,0,1,1,1,0,0,1,"0","0",0
9,0,2,0,0,0,0,0,0,3,1,6,3,43,7,1896,2,6,NA,3,5,"17:50:00",6,6,30,0,NA,NA,0,0,1,1,1,0,0,1,"NA","NA",0
9,0,18,0,1,0,0,0,0,1,1,6,1,57,9,1747,1,16,1,4,6,"18:30:00",3,3,50,5,4,6,0,0,1,1,1,0,0,1,"0","0",0
9,0,3,0,1,0,0,0,0,2,1,6,1,37,7,1461,2,1,1,4,6,"18:30:00",3,3,50,5,4,6,0,0,1,1,1,0,0,1,"0","0",0
9,0,3,0,1,0,0,0,0,2,1,6,1,68,10,1229,1,3,1,4,6,"18:30:00",3,3,50,5,4,6,0,0,1,1,1,0,0,1,"0","0",0
9,0,3,0,1,0,0,0,0,2,1,6,1,60,9,NA,NA,NA,NA,4,6,"18:30:00",3,3,50,5,4,6,0,0,1,1,1,0,0,1,"0","0",0
9,0,3,0,2,0,0,0,0,3,1,6,1,20,4,1499,1,NA,1,2,4,"18:50:00",3,6,30,9,4,6,0,0,1,1,1,0,0,1,"NA","NA",0
